player_id,球員背號,球員姓名,球隊,出賽場次,攻擊_成功,攻擊_總數,攔網_成功,攔網_總數,發球_成功,發球_總數,接發球_成功,接發球_總數,防守_成功,防守_總數,舉球_成功,舉球_總數,得分,攻擊%,攔網%,發球%,接發球%,防守%,舉球%,攻擊%_z,攔網%_z,發球%_z,接發球%_z,防守%_z,舉球%_z,得分_z,MVP_score,MVP_rank
34,17,陳思妤,高雄台電,63,215,719,7,79,7,208,142,406,61,238,0,1,229,29.9,8.86,3.37,34.98,25.63,0.0,-0.14332846141839922,-0.5922286871958431,-0.2702847248261717,-0.06227801855500437,-0.12811210103164491,-0.6971983521815464,-0.15742009398947002,47.8,23
109,20,池長璇,臺北鯨華,34,54,182,6,27,2,64,5,33,13,52,0,1,62,29.67,22.22,3.12,15.15,25.0,0.0,-0.16002410392345434,0.8019433483362101,-0.3676261623385985,-1.1263182171741677,-0.1816848028942866,-0.6971983521815464,-0.6305657533144012,46.3,24
144,10,張庭瑋,義力營造,44,19,50,4,95,17,339,0,3,63,289,870,2689,40,38.0,4.21,5.01,0.0,21.8,32.35,0.4446485137596369,-1.0774756905808767,0.3682751052553478,-1.939238489946751,-0.45380011394262565,0.5725654740309003,-0.692896319213494,38.5,25
209,10,陳映淳,高雄台電,22,13,29,1,12,2,64,0,1,10,83,210,648,16,44.83,8.33,3.12,0.0,12.05,32.41,0.9404365064097585,-0.6475364101623091,-0.3676261623385985,-1.939238489946751,-1.282901452293034,0.5749205228584966,-0.7608933001943224,35.2,26
110,11,洪家瑤,高雄台電,111,40,132,69,503,36,817,0,18,146,1066,2054,7871,145,30.3,13.72,4.41,0.0,13.7,26.1,-0.11429256140960715,-0.08506730301277567,0.13465565522552367,-1.939238489946751,-1.1425919950337342,0.32724788782293146,-0.39540952742236957,31.5,27
54,12,廖苡任,臺北鯨華,99,70,250,24,538,38,1170,2,20,238,1398,2644,10041,132,28.0,4.46,3.25,10.0,17.02,26.33,-0.28124898646016067,-1.0513871420117888,-0.31700861483213666,-1.4026574518130326,-0.8602723598210823,0.3362755749953846,-0.4322412254536517,23.1,28
146,1,江辰翊,義力營造,86,20,69,2,59,9,409,0,3,100,506,959,3652,31,28.99,3.39,2.2,0.0,19.76,26.26,-0.2093851339384008,-1.1630461298874846,-0.725842652384329,-1.939238489946751,-0.6272736247359418,0.3335280180298555,-0.7183951870813047,14.8,29
62,9,陳妘臻,新北中纖,44,1,16,3,26,6,140,0,1,20,147,239,775,10,6.25,11.54,4.29,0.0,13.61,30.84,-1.8600760494382202,-0.3125594465352216,0.08793176521955877,-1.939238489946751,-1.1502452381569688,0.5132967452030549,-0.7778925454395296,0.0,30
67,4,陽孟娟,新北中纖,22,14,69,2,21,0,31,14,45,13,39,0,0,16,20.29,9.52,0.0,31.11,33.33,,-0.8409159591296246,-0.5233549189734512,-1.5824473024936847,-0.26993488031275326,0.5266653661784211,,-0.7608933001943224,,47
178,7,Miku Isogai,新北中纖,22,244,709,11,61,11,327,163,389,114,336,0,0,266,34.41,18.03,3.36,41.9,33.93,,0.18405131118072934,0.36469927431829846,-0.2741783823266689,0.30903605983352883,0.5776869869999848,,-0.0525914149773595,,47
